scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",38,169,2,"CLBLL_R_X13Y37"
"accelerator",42,164,5,"CLBLL_R_X15Y42"
"accelerator",42,166,1,"CLBLL_R_X15Y40"
"accelerator",42,167,4,"CLBLL_R_X15Y39"
"accelerator",43,160,10,"CLBLL_L_X16Y46"
"accelerator",43,164,1,"CLBLL_L_X16Y42"
"accelerator",46,157,2,"CLBLL_R_X17Y49"
"accelerator",46,160,5,"CLBLL_R_X17Y46"
"accelerator",46,161,1,"CLBLL_R_X17Y45"
"accelerator",46,163,6,"CLBLL_R_X17Y43"
"accelerator",46,164,13,"CLBLL_R_X17Y42"
"accelerator",46,165,11,"CLBLL_R_X17Y41"
"accelerator",51,100,13,"CLBLL_R_X19Y103"
"accelerator",51,101,13,"CLBLL_R_X19Y102"
"accelerator",51,102,13,"CLBLL_R_X19Y101"
"accelerator",51,103,13,"CLBLL_R_X19Y100"
"accelerator",51,105,14,"CLBLL_R_X19Y99"
"accelerator",51,106,16,"CLBLL_R_X19Y98"
"accelerator",51,107,17,"CLBLL_R_X19Y97"
"accelerator",51,108,15,"CLBLL_R_X19Y96"
"accelerator",51,109,16,"CLBLL_R_X19Y95"
"accelerator",51,110,20,"CLBLL_R_X19Y94"
"accelerator",51,111,19,"CLBLL_R_X19Y93"
"accelerator",51,112,17,"CLBLL_R_X19Y92"
"accelerator",51,113,18,"CLBLL_R_X19Y91"
"accelerator",51,114,17,"CLBLL_R_X19Y90"
"accelerator",51,115,6,"CLBLL_R_X19Y89"
"accelerator",51,116,6,"CLBLL_R_X19Y88"
"accelerator",51,117,6,"CLBLL_R_X19Y87"
"accelerator",51,118,6,"CLBLL_R_X19Y86"
"accelerator",51,119,14,"CLBLL_R_X19Y85"
"accelerator",51,120,14,"CLBLL_R_X19Y84"
"accelerator",51,121,13,"CLBLL_R_X19Y83"
"accelerator",51,122,9,"CLBLL_R_X19Y82"
"accelerator",51,123,6,"CLBLL_R_X19Y81"
"accelerator",51,124,7,"CLBLL_R_X19Y80"
"accelerator",51,125,5,"CLBLL_R_X19Y79"
"accelerator",51,126,4,"CLBLL_R_X19Y78"
"accelerator",51,129,1,"CLBLL_R_X19Y75"
"accelerator",51,131,5,"CLBLL_R_X19Y74"
"accelerator",51,132,5,"CLBLL_R_X19Y73"
"accelerator",51,133,5,"CLBLL_R_X19Y72"
"accelerator",51,134,10,"CLBLL_R_X19Y71"
"accelerator",51,135,14,"CLBLL_R_X19Y70"
"accelerator",51,136,26,"CLBLL_R_X19Y69"
"accelerator",51,137,13,"CLBLL_R_X19Y68"
"accelerator",51,138,15,"CLBLL_R_X19Y67"
"accelerator",51,139,5,"CLBLL_R_X19Y66"
"accelerator",51,140,18,"CLBLL_R_X19Y65"
"accelerator",51,141,8,"CLBLL_R_X19Y64"
"accelerator",51,142,12,"CLBLL_R_X19Y63"
"accelerator",51,143,15,"CLBLL_R_X19Y62"
"accelerator",51,144,13,"CLBLL_R_X19Y61"
